SaleID,ProductID,ProductName,Category,QuantitySold,PricePerUnit,TotalAmount,SaleDate
1,14,Printer All-in-One,Office Supplies,10,138.55,1385.5,2024-08-26
2,11,Webcam HD 1080p,Electronics,2,56.72,113.44,2024-04-04
3,4,"4K UHD Monitor 27""",Electronics,6,455.72,2734.32,2024-09-04
4,4,"4K UHD Monitor 27""",Electronics,4,354.49,1417.96,2024-05-17
5,12,Smartphone X,Electronics,10,784.75,7847.5,2024-07-30
6,3,Mechanical Keyboard,Electronics,4,181.65,726.6,2024-12-16
7,7,Standing Desk (Electric),Furniture,1,461.92,461.92,2024-12-12
8,13,Tablet S,Electronics,5,692.18,3460.9,2024-01-23
9,3,Mechanical Keyboard,Electronics,10,168.55,1685.5,2024-01-14
10,7,Standing Desk (Electric),Furniture,7,549.73,3848.11,2024-02-27
11,15,A4 Printing Paper (Ream),Office Supplies,9,7.94,71.46,2024-03-01
12,4,"4K UHD Monitor 27""",Electronics,6,400.66,2403.96,2024-04-17
13,5,USB-C Hub,Accessories,1,51.46,51.46,2024-04-05
14,7,Standing Desk (Electric),Furniture,10,410.64,4106.4,2024-08-15
15,8,Python Programming Book,Books,8,31.0,248.0,2024-08-01
16,8,Python Programming Book,Books,1,36.57,36.57,2024-07-08
17,2,Wireless Mouse,Electronics,7,49.6,347.2,2024-04-27
18,6,Office Chair Ergonomic,Furniture,1,394.5,394.5,2024-07-10
19,13,Tablet S,Electronics,5,674.09,3370.45,2024-11-01
20,4,"4K UHD Monitor 27""",Electronics,1,250.4,250.4,2024-08-15
21,2,Wireless Mouse,Electronics,9,44.18,397.62,2024-10-31
22,14,Printer All-in-One,Office Supplies,1,142.17,142.17,2024-11-25
23,2,Wireless Mouse,Electronics,4,42.77,171.08,2024-02-02
24,3,Mechanical Keyboard,Electronics,6,182.94,1097.64,2024-03-18
25,12,Smartphone X,Electronics,10,870.73,8707.3,2024-07-04
26,11,Webcam HD 1080p,Electronics,8,94.46,755.68,2024-06-14
27,12,Smartphone X,Electronics,3,617.62,1852.86,2024-07-13
28,1,"Laptop Pro 13""",Electronics,3,1335.17,4005.51,2024-07-06
29,3,Mechanical Keyboard,Electronics,8,96.62,772.96,2024-07-09
30,6,Office Chair Ergonomic,Furniture,6,262.75,1576.5,2024-12-07
31,11,Webcam HD 1080p,Electronics,10,56.6,566.0,2024-12-07
32,9,Cloud Computing Textbook,Books,7,55.21,386.47,2024-12-02
33,14,Printer All-in-One,Office Supplies,10,181.4,1814.0,2024-11-29
34,3,Mechanical Keyboard,Electronics,7,167.84,1174.88,2024-05-28
35,10,Noise Cancelling Headphones,Electronics,7,196.84,1377.88,2024-12-18
36,11,Webcam HD 1080p,Electronics,1,42.27,42.27,2024-08-12
37,6,Office Chair Ergonomic,Furniture,1,388.95,388.95,2024-09-21
38,1,"Laptop Pro 13""",Electronics,9,1049.23,9443.07,2024-08-01
39,10,Noise Cancelling Headphones,Electronics,9,280.57,2525.13,2024-11-28
40,15,A4 Printing Paper (Ream),Office Supplies,9,8.79,79.11,2024-08-10
41,8,Python Programming Book,Books,8,30.6,244.8,2024-12-23
42,15,A4 Printing Paper (Ream),Office Supplies,7,5.35,37.45,2024-06-07
43,1,"Laptop Pro 13""",Electronics,10,1172.32,11723.2,2024-10-23
44,10,Noise Cancelling Headphones,Electronics,9,285.25,2567.25,2024-12-16
45,2,Wireless Mouse,Electronics,3,39.01,117.03,2024-10-30
46,7,Standing Desk (Electric),Furniture,8,315.91,2527.28,2024-09-03
47,4,"4K UHD Monitor 27""",Electronics,4,330.36,1321.44,2024-03-09
48,3,Mechanical Keyboard,Electronics,5,101.09,505.45,2024-06-15
49,5,USB-C Hub,Accessories,4,57.46,229.84,2024-08-15
50,11,Webcam HD 1080p,Electronics,8,76.48,611.84,2024-03-29
51,8,Python Programming Book,Books,3,39.32,117.96,2024-07-04
52,7,Standing Desk (Electric),Furniture,1,432.66,432.66,2024-12-26
53,6,Office Chair Ergonomic,Furniture,5,226.72,1133.6,2024-07-29
54,9,Cloud Computing Textbook,Books,6,73.19,439.14,2024-07-04
55,4,"4K UHD Monitor 27""",Electronics,8,291.05,2328.4,2024-08-30
